title,plot
The Shawshank Redemption,Drama  Crime. The story of Andy Dufresne  who is sentenced to two consecutive life sentences in prison for the murder of his wife and her lover  and his incredible journey in the prison as he eventually escapes after decades of suffering.
The Dark Knight,Action  Crime  Drama. Batman faces a new enemy  the Joker  a criminal mastermind who seeks to bring chaos to Gotham City. The film explores the themes of good versus evil  chaos versus order  and the moral cost of vigilantism.
Forrest Gump,Drama  Romance  History. A simple man with a kind heart  Forrest Gump unintentionally influences several historical events in the 20th century U.S.  all while trying to reconnect with his childhood love  Jenny.
Inception,Sci-Fi  Mystery  Action. Dom Cobb is a skilled thief who specializes in the art of 'extraction'  stealing secrets from deep within the subconscious during the dream state. He is offered a chance to have his past crimes erased if he can successfully perform 'inception'—planting an idea in someone’s mind.
The Godfather,Crime  Drama. The powerful and influential Corleone family  led by Vito Corleone  becomes entangled in the violent and treacherous world of organized crime. This film explores themes of loyalty  family  and betrayal.
Schindler's List,History  War  Drama. Based on the true story of Oskar Schindler  a German businessman who saves the lives of over 1 200 Polish Jews during the Holocaust by employing them in his factories.
The Matrix,Sci-Fi  Action  Mystery. In a dystopian future  a computer hacker named Neo discovers that reality is a simulated illusion controlled by artificial intelligence  and he joins a group of rebels to fight back and free humanity from this oppressive simulation.
Pulp Fiction,Crime  Drama. A non-linear story consisting of several interconnected tales of crime and redemption  filled with dark humor  crime  and unexpected twists. It includes hitmen  criminals  and ordinary people dealing with extraordinary situations.
Titanic,Romance  Drama  History. A young couple from different social backgrounds fall in love aboard the doomed RMS Titanic. The film depicts their tragic love story amid the sinking of the ship and explores themes of class disparity  survival  and sacrifice.
The Lion King,Animation  Adventure  Family. Simba  a young lion prince  is faced with the tragic loss of his father and is forced to flee. He grows up in exile  learning valuable life lessons and ultimately returning to reclaim his place as king of the Pride Lands.
Interstellar,Sci-Fi  Adventure  Drama. A group of astronauts travels through a wormhole in search of a new habitable planet for humanity  while confronting the concept of time dilation and the personal sacrifices of love and family.
Gladiator,Action  Adventure  Drama. A betrayed Roman general seeks revenge against the corrupt emperor who murdered his family and sent him into slavery. Along the way  he rises through the gladiatorial arena to become a symbol of hope for the oppressed.
Fight Club,Drama  Action. An unnamed protagonist forms an underground fight club with the mysterious Tyler Durden. As the fight club grows in popularity  it descends into chaos and challenges society's materialistic values and notions of masculinity.
The Prestige,Drama  Mystery  Thriller. Two magicians  Robert Angier and Alfred Borden  engage in a bitter rivalry  using increasingly dangerous tricks and illusions to outdo one another  leading to a shocking series of twists and betrayals.
Goodfellas,Crime  Drama. The film chronicles the rise and fall of Henry Hill  a member of the Mafia  and his involvement in organized crime  following him through the 1960s and 1970s as he becomes more deeply enmeshed in the criminal world.
Star Wars: Episode IV - A New Hope,Action  Adventure  Fantasy. A young farm boy  Luke Skywalker  embarks on an intergalactic journey to rescue a princess  destroy an evil empire  and learn the ways of the Force  discovering his destiny as a Jedi.
Casablanca,Romance  Drama  War. During World War II  Rick Blaine  a cynical bar owner  is reunited with his former lover  Ilsa  in Vichy-controlled Casablanca. He must choose between his love for her and helping her and her husband escape the Nazis.
Se7en,Crime  Drama  Mystery. Two detectives hunt a serial killer who uses the seven deadly sins as his modus operandi. The investigation takes them deep into a world of crime and moral dilemmas  leading to a devastating and unexpected conclusion.
Avatar,Action  Adventure  Sci-Fi. On the lush alien world of Pandora  a paraplegic ex-marine is tasked with infiltrating the indigenous Na'vi people to gain their trust  but he soon finds himself siding with them against the destructive forces of humanity.
Terminator 2: Judgment Day,Action  Sci-Fi  Thriller. A cyborg from the future is sent back in time to protect the young John Connor  whose survival is crucial to the future of humanity. As they fight against another more advanced Terminator  they confront the impending judgment day.
The Silence of the Lambs,Crime  Drama  Thriller. FBI agent Clarice Starling seeks the help of a brilliant but insane cannibalistic serial killer  Hannibal Lecter  to catch another serial killer who is on the loose. The film explores psychological manipulation and human psychology.
Back to the Future,Adventure  Comedy  Sci-Fi. Teenager Marty McFly travels back in time to 1955  accidentally preventing his parents from meeting and threatening his own existence. He enlists the help of a young Dr. Emmett Brown to set things right before time runs out.
The Usual Suspects,Crime  Drama  Mystery. A group of criminals is interrogated after a heist goes wrong  and the story unfolds through flashbacks. As the layers are peeled back  the true identity of the mysterious criminal mastermind Keyser Söze is revealed in a shocking twist.
Once Upon a Time in the West,Western  Drama. A mysterious man with no name teams up with a widow to protect her land from a ruthless railroad tycoon. The film explores themes of revenge  the fading of the Old West  and the encroachment of industrialization.
Whiplash,Drama  Music. A young and ambitious drummer  Andrew  is pushed to his limits by his tyrannical music instructor  Fletcher  who believes in pushing his students beyond their breaking points to achieve greatness. It’s a tense exploration of ambition and perfectionism.
Spider-Man: Into the Spider-Verse,Animation  Action  Adventure. Miles Morales becomes the new Spider-Man and teams up with other Spider-People from alternate universes to stop a threat that could destroy all of reality. The film is praised for its innovative animation style and emotional depth.
Parasite,Comedy  Drama  Thriller. A poor family infiltrates a wealthy household by taking jobs as servants  but their plans unravel as secrets are revealed  leading to tragic consequences. The film explores themes of class  greed  and social inequality.
Blade Runner,Sci-Fi  Thriller. In a dystopian future  a blade runner named Rick Deckard is tasked with hunting down rogue artificial beings known as replicants  but his mission becomes complicated when he questions the morality of his actions and his own humanity.
12 Angry Men,Drama. A jury deliberates the guilt or innocence of a young man accused of murder. The film explores themes of prejudice  justice  and the moral duty of jurors  as one man convinces the others to re-examine the evidence before reaching a verdict.
Citizen Kane,Drama  Mystery. The film tells the story of the life and legacy of Charles Foster Kane  a wealthy newspaper magnate  through the eyes of a reporter investigating his last words. The film is a powerful exploration of power  ambition  and personal loss.
Rear Window,Mystery  Thriller. A wheelchair-bound photographer becomes convinced that his neighbor has committed a murder after watching him through his apartment window. The film builds tension and suspense as he investigates the crime  all while being confined to his apartment.
Alien,Horror  Sci-Fi  Thriller. The crew of a commercial space tug discovers an alien life form on a remote planet  which begins to terrorize the crew as they fight for survival. The film is a masterclass in horror and suspense  blending sci-fi with psychological terror.
Saving Private Ryan,War  Drama  History. During World War II  Captain Miller and his squad are sent to find and bring home Private James Francis Ryan  whose brothers have been killed in action. The film explores the horrors of war and the sacrifice of soldiers for the greater good.
Lord of the Rings: The Fellowship of the Ring,Action  Adventure  Fantasy. A young hobbit  Frodo Baggins  is tasked with destroying the One Ring  a powerful artifact that could bring destruction to Middle-earth. He embarks on a perilous journey with a fellowship of companions to prevent the rise of evil.
Moonlight,Drama. The film follows the life of Chiron  a young black man growing up in a rough neighborhood in Miami  as he struggles with his identity  sexuality  and relationships. It’s a poignant and powerful exploration of the human experience and self-discovery.
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy  War. A dark political satire about the threat of nuclear war  focusing on a series of mishaps involving military and political leaders that could lead to global disaster. The film is a biting commentary on Cold War politics and the absurdity of war.
The Departed,Crime  Drama  Thriller. An undercover cop infiltrates a Boston crime syndicate  while a member of the syndicate infiltrates the police force. The film is a tense  twist-filled cat-and-mouse game of deception and betrayal.
American History X,Drama  Crime. A former white supremacist  Derek  attempts to prevent his younger brother  Danny  from following in his footsteps. The film explores themes of racism  redemption  and the cyclical nature of hate in society.
The Social Network,Drama  Biography. The story of Mark Zuckerberg  the founder of Facebook  and his rise to success  which is complicated by legal battles  betrayal  and the darker side of ambition. The film explores the impact of social media on modern society and relationships.
Shutter Island,Mystery  Thriller. A U.S. Marshal investigates the disappearance of a patient from a mental institution located on a remote island  only to uncover dark secrets and a series of shocking revelations that blur the lines between reality and madness.
Your Name (Kimi no Na wa),Animation  Drama  Fantasy. Two high school students  Taki and Mitsuha  mysteriously swap bodies  living each other's lives while trying to solve the mystery behind their strange connection. The film explores themes of fate  time  and the power of memories.
Raging Bull,Drama  Biography  Sports. The story of boxer Jake LaMotta  whose self-destructive behavior and jealousy push him into a downward spiral. The film is a stark exploration of the psychological toll of violence  ambition  and personal demons.
The Green Mile,Drama  Fantasy. A prison guard witnesses extraordinary events when a condemned man  John Coffey  who has miraculous healing powers  is sent to death row. The film explores themes of compassion  justice  and the supernatural.
Heat,Crime  Drama  Thriller. A professional thief and a detective engage in a dangerous game of cat and mouse as their lives become more intertwined  both on and off the job. The film delves into the personal costs of crime and the blurred lines between law and order.
Back to the Future Part II,Adventure  Comedy  Sci-Fi. Marty McFly and Doc Brown travel to the future to prevent a disaster  only to face even greater challenges as their actions begin to alter the timeline. The film explores the consequences of meddling with time and alternate realities.
Blade Runner 2049,Sci-Fi  Thriller. Thirty years after the events of the first film  a new blade runner  K  uncovers long-buried secrets that could change the course of humanity’s future. The film delves into themes of identity  existence  and artificial life.
The Big Lebowski,Comedy  Crime. The Dude  an easygoing and lazy man  becomes involved in a complex kidnapping case when his rug is mistakenly ruined by thugs. The film is a quirky  offbeat comedy filled with absurd characters and bizarre situations.
Toy Story 3,Animation  Adventure  Comedy. Woody  Buzz  and the rest of the toys face an uncertain future as their owner Andy prepares to leave for college. The film explores themes of change  loyalty  and the passage of time.
Jurassic Park,Adventure  Sci-Fi  Thriller. A group of scientists and visitors are invited to an island where genetically engineered dinosaurs are brought back to life. When the park's security systems fail  chaos ensues  and the group must fight for survival.
Requiem for a Dream,Drama. The lives of four people spiral out of control as their addictions to drugs lead to their eventual ruin. The film portrays the devastating effects of substance abuse and the unrelenting pull of desire and illusion.
Revenant,Adventure  Drama  Thriller. After being left for dead by his expedition team  frontiersman Hugh Glass embarks on a harrowing journey of survival and revenge against those who abandoned him  confronting both nature and his own inner demons.
Donnie Darko,Drama  Mystery  Sci-Fi. A troubled teenager named Donnie experiences strange visions of a man in a creepy bunny suit who guides him on a journey through time  fate  and reality  leading to a mind-bending conclusion.
City of God,Crime  Drama  Thriller. The film follows the lives of several young people growing up in the slums of Rio de Janeiro  where violence and crime dominate their world. The story is told through the eyes of Rocket  a boy who dreams of becoming a photographer.
The Wolf of Wall Street,Biography  Comedy  Crime. Based on the true story of Jordan Belfort  a stockbroker who rises to wealth and power through fraudulent schemes  only to fall from grace as he becomes consumed by greed and excess.
